From,To,Fastest Train Time
Berlin hbf,Mönchengladbach hbf,4 h 52m
Mönchengladbach hbf,Berlin hbf,4 h 52m
Berlin hbf,Bremen hbf,2 h 48m
Bremen hbf,Berlin hbf,2 h 48m
Berlin hbf,Augsburg hbf,4 h 15m
Augsburg hbf,Berlin hbf,4 h 15m
Berlin hbf,Bochum hbf,4 h
Bochum hbf,Berlin hbf,4 h
Berlin hbf,Hamburg hbf,1 h 46m
Hamburg hbf,Berlin hbf,1 h 46m
Berlin hbf,Kiel hbf,3 h 14m
Kiel hbf,Berlin hbf,3 h 14m
Berlin hbf,Köln hbf,4 h 7m
Köln hbf,Berlin hbf,4 h 7m
Berlin hbf,Darmstadt hbf,4 h 21m
Darmstadt hbf,Berlin hbf,4 h 21m
Berlin hbf,Düsseldorf hbf,4 h 21m
Düsseldorf hbf,Berlin hbf,4 h 21m
Berlin hbf,Karlsruhe hbf,5 h 12m
Karlsruhe hbf,Berlin hbf,5 h 12m
Berlin hbf,Hannover hbf,1 h 40m
Hannover hbf,Berlin hbf,1 h 40m
Berlin hbf,Paderborn hbf,3 h 49m
Paderborn hbf,Berlin hbf,3 h 49m
Berlin hbf,Fürth hbf,3 h 9m
Fürth hbf,Berlin hbf,3 h 9m
Berlin hbf,Gelsenkirchen hbf,3 h 55m
Gelsenkirchen hbf,Berlin hbf,3 h 55m
Berlin hbf,Neunkirchen hbf,6 h 24m
Neunkirchen hbf,Berlin hbf,6 h 24m
Berlin hbf,Nürnberg hbf,2 h 55m
Nürnberg hbf,Berlin hbf,2 h 55m
Berlin hbf,Kaiserslautern hbf,5 h 35m
Kaiserslautern hbf,Berlin hbf,5 h 35m
Berlin hbf,Magdeburg hbf,1 h 24m
Magdeburg hbf,Berlin hbf,1 h 24m
Berlin hbf,Braunschweig hbf,1 h 23m
Braunschweig hbf,Berlin hbf,1 h 23m
Berlin hbf,Ulm hbf,5 h 43m
Ulm hbf,Berlin hbf,5 h 43m
Berlin hbf,Münster (Westf) hbf,3 h 21m
Münster (Westf) hbf,Berlin hbf,3 h 21m
Berlin hbf,Rostock hbf,2 h 5m
Rostock hbf,Berlin hbf,2 h 5m
Sinsheim (Elsenz) hbf,Mainz hbf,1 h 48m
Mainz hbf,Sinsheim (Elsenz) hbf,1 h 48m
Sinsheim (Elsenz) hbf,Wolfsburg hbf,4 h 54m
Wolfsburg hbf,Sinsheim (Elsenz) hbf,4 h 54m
Sinsheim (Elsenz) hbf,Mönchengladbach hbf,3 h 47m
Mönchengladbach hbf,Sinsheim (Elsenz) hbf,3 h 47m
Sinsheim (Elsenz) hbf,Bremen hbf,5 h 30m
Bremen hbf,Sinsheim (Elsenz) hbf,5 h 30m
Sinsheim (Elsenz) hbf,Augsburg hbf,3 h 23m
Augsburg hbf,Sinsheim (Elsenz) hbf,3 h 23m
Sinsheim (Elsenz) hbf,Bochum hbf,4 h 19m
Bochum hbf,Sinsheim (Elsenz) hbf,4 h 19m
Sinsheim (Elsenz) hbf,Hamburg hbf,5 h 43m
Hamburg hbf,Sinsheim (Elsenz) hbf,5 h 43m
Sinsheim (Elsenz) hbf,Kiel hbf,6 h 55m
Kiel hbf,Sinsheim (Elsenz) hbf,6 h 55m
Sinsheim (Elsenz) hbf,Köln hbf,2 h 41m
Köln hbf,Sinsheim (Elsenz) hbf,2 h 41m
Sinsheim (Elsenz) hbf,Darmstadt hbf,1 h 27m
Darmstadt hbf,Sinsheim (Elsenz) hbf,1 h 27m
Sinsheim (Elsenz) hbf,Düsseldorf hbf,3 h 14m
Düsseldorf hbf,Sinsheim (Elsenz) hbf,3 h 14m
Sinsheim (Elsenz) hbf,Karlsruhe hbf,1 h 12m
Karlsruhe hbf,Sinsheim (Elsenz) hbf,1 h 12m
Sinsheim (Elsenz) hbf,Hannover hbf,4 h 24m
Hannover hbf,Sinsheim (Elsenz) hbf,4 h 24m
Sinsheim (Elsenz) hbf,Paderborn hbf,4 h 45m
Paderborn hbf,Sinsheim (Elsenz) hbf,4 h 45m
Sinsheim (Elsenz) hbf,Fürth hbf,4 h 7m
Fürth hbf,Sinsheim (Elsenz) hbf,4 h 7m
Sinsheim (Elsenz) hbf,Gelsenkirchen hbf,3 h 57m
Gelsenkirchen hbf,Sinsheim (Elsenz) hbf,3 h 57m
Sinsheim (Elsenz) hbf,Neunkirchen hbf,2 h 42m
Neunkirchen hbf,Sinsheim (Elsenz) hbf,2 h 42m
Sinsheim (Elsenz) hbf,Nürnberg hbf,3 h 42m
Nürnberg hbf,Sinsheim (Elsenz) hbf,3 h 42m
Sinsheim (Elsenz) hbf,Kaiserslautern hbf,2 h
Kaiserslautern hbf,Sinsheim (Elsenz) hbf,2 h
Sinsheim (Elsenz) hbf,Magdeburg hbf,5 h 30m
Magdeburg hbf,Sinsheim (Elsenz) hbf,5 h 30m
Sinsheim (Elsenz) hbf,Braunschweig hbf,4 h 35m
Braunschweig hbf,Sinsheim (Elsenz) hbf,4 h 35m
Sinsheim (Elsenz) hbf,Ulm hbf,2 h 37m
Ulm hbf,Sinsheim (Elsenz) hbf,2 h 37m
Sinsheim (Elsenz) hbf,Münster (Westf) hbf,4 h 33m
Münster (Westf) hbf,Sinsheim (Elsenz) hbf,4 h 33m
Sinsheim (Elsenz) hbf,Rostock hbf,8 h 13m
Rostock hbf,Sinsheim (Elsenz) hbf,8 h 13m
Mainz hbf,Wolfsburg hbf,3 h 37m
Wolfsburg hbf,Mainz hbf,3 h 37m
Mainz hbf,Mönchengladbach hbf,2 h 28m
Mönchengladbach hbf,Mainz hbf,2 h 28m
Mainz hbf,Bremen hbf,4 h 4m
Bremen hbf,Mainz hbf,4 h 4m
Mainz hbf,Augsburg hbf,3 h 11m
Augsburg hbf,Mainz hbf,3 h 11m
Mainz hbf,Bochum hbf,3 h
Bochum hbf,Mainz hbf,3 h
Mainz hbf,Hamburg hbf,4 h 20m
Hamburg hbf,Mainz hbf,4 h 20m
Mainz hbf,Kiel hbf,5 h 42m
Kiel hbf,Mainz hbf,5 h 42m
Mainz hbf,Köln hbf,1 h 22m
Köln hbf,Mainz hbf,1 h 22m
Mainz hbf,Darmstadt hbf,32m
Darmstadt hbf,Mainz hbf,32m
Mainz hbf,Düsseldorf hbf,1 h 50m
Düsseldorf hbf,Mainz hbf,1 h 50m
Mainz hbf,Karlsruhe hbf,1 h 5m
Karlsruhe hbf,Mainz hbf,1 h 5m
Mainz hbf,Hannover hbf,3 h 2m
Hannover hbf,Mainz hbf,3 h 2m
Mainz hbf,Paderborn hbf,3 h 26m
Paderborn hbf,Mainz hbf,3 h 26m
Mainz hbf,Fürth hbf,2 h 59m
Fürth hbf,Mainz hbf,2 h 59m
Mainz hbf,Gelsenkirchen hbf,2 h 32m
Gelsenkirchen hbf,Mainz hbf,2 h 32m
Mainz hbf,Neunkirchen hbf,1 h 53m
Neunkirchen hbf,Mainz hbf,1 h 53m
Mainz hbf,Nürnberg hbf,2 h 42m
Nürnberg hbf,Mainz hbf,2 h 42m
Mainz hbf,Kaiserslautern hbf,1 h 30m
Kaiserslautern hbf,Mainz hbf,1 h 30m
Mainz hbf,Magdeburg hbf,4 h 12m
Magdeburg hbf,Mainz hbf,4 h 12m
Mainz hbf,Braunschweig hbf,3 h 19m
Braunschweig hbf,Mainz hbf,3 h 19m
Mainz hbf,Ulm hbf,2 h 27m
Ulm hbf,Mainz hbf,2 h 27m
Mainz hbf,Münster (Westf) hbf,3 h 11m
Münster (Westf) hbf,Mainz hbf,3 h 11m
Mainz hbf,Rostock hbf,7 h 20m
Rostock hbf,Mainz hbf,7 h 20m
Wolfsburg hbf,Mönchengladbach hbf,3 h 49m
Mönchengladbach hbf,Wolfsburg hbf,3 h 49m
Wolfsburg hbf,Bremen hbf,1 h 43m
Bremen hbf,Wolfsburg hbf,1 h 43m
Wolfsburg hbf,Augsburg hbf,5 h 8m
Augsburg hbf,Wolfsburg hbf,5 h 8m
Wolfsburg hbf,Bochum hbf,2 h 53m
Bochum hbf,Wolfsburg hbf,2 h 53m
Wolfsburg hbf,Hamburg hbf,2 h 1m
Hamburg hbf,Wolfsburg hbf,2 h 1m
Wolfsburg hbf,Kiel hbf,3 h 16m
Kiel hbf,Wolfsburg hbf,3 h 16m
Wolfsburg hbf,Köln hbf,3 h 19m
Köln hbf,Wolfsburg hbf,3 h 19m
Wolfsburg hbf,Darmstadt hbf,3 h 38m
Darmstadt hbf,Wolfsburg hbf,3 h 38m
Wolfsburg hbf,Düsseldorf hbf,3 h 16m
Düsseldorf hbf,Wolfsburg hbf,3 h 16m
Wolfsburg hbf,Karlsruhe hbf,4 h 16m
Karlsruhe hbf,Wolfsburg hbf,4 h 16m
Wolfsburg hbf,Hannover hbf,31m
Hannover hbf,Wolfsburg hbf,31m
Wolfsburg hbf,Paderborn hbf,2 h 38m
Paderborn hbf,Wolfsburg hbf,2 h 38m
Wolfsburg hbf,Fürth hbf,3 h 56m
Fürth hbf,Wolfsburg hbf,3 h 56m
Wolfsburg hbf,Gelsenkirchen hbf,2 h 48m
Gelsenkirchen hbf,Wolfsburg hbf,2 h 48m
Wolfsburg hbf,Neunkirchen hbf,5 h 17m
Neunkirchen hbf,Wolfsburg hbf,5 h 17m
Wolfsburg hbf,Nürnberg hbf,3 h 38m
Nürnberg hbf,Wolfsburg hbf,3 h 38m
Wolfsburg hbf,Kaiserslautern hbf,4 h 39m
Kaiserslautern hbf,Wolfsburg hbf,4 h 39m
Wolfsburg hbf,Magdeburg hbf,1 h 23m
Magdeburg hbf,Wolfsburg hbf,1 h 23m
Wolfsburg hbf,Braunschweig hbf,21m
Braunschweig hbf,Wolfsburg hbf,21m
Wolfsburg hbf,Ulm hbf,5 h 30m
Ulm hbf,Wolfsburg hbf,5 h 30m
Wolfsburg hbf,Münster (Westf) hbf,2 h 29m
Münster (Westf) hbf,Wolfsburg hbf,2 h 29m
Wolfsburg hbf,Rostock hbf,3 h 33m
Rostock hbf,Wolfsburg hbf,3 h 33m
Mönchengladbach hbf,Bremen hbf,3 h 17m
Bremen hbf,Mönchengladbach hbf,3 h 17m
Mönchengladbach hbf,Augsburg hbf,4 h 41m
Augsburg hbf,Mönchengladbach hbf,4 h 41m
Mönchengladbach hbf,Bochum hbf,1 h 35m
Bochum hbf,Mönchengladbach hbf,1 h 35m
Mönchengladbach hbf,Hamburg hbf,3 h 57m
Hamburg hbf,Mönchengladbach hbf,3 h 57m
Mönchengladbach hbf,Kiel hbf,5 h 36m
Kiel hbf,Mönchengladbach hbf,5 h 36m
Mönchengladbach hbf,Köln hbf,54m
Köln hbf,Mönchengladbach hbf,54m
Mönchengladbach hbf,Darmstadt hbf,2 h 39m
Darmstadt hbf,Mönchengladbach hbf,2 h 39m
Mönchengladbach hbf,Düsseldorf hbf,34m
Düsseldorf hbf,Mönchengladbach hbf,34m
Mönchengladbach hbf,Karlsruhe hbf,2 h 57m
Karlsruhe hbf,Mönchengladbach hbf,2 h 57m
Mönchengladbach hbf,Hannover hbf,3 h 3m
Hannover hbf,Mönchengladbach hbf,3 h 3m
Mönchengladbach hbf,Paderborn hbf,2 h 34m
Paderborn hbf,Mönchengladbach hbf,2 h 34m
Mönchengladbach hbf,Fürth hbf,4 h 25m
Fürth hbf,Mönchengladbach hbf,4 h 25m
Mönchengladbach hbf,Gelsenkirchen hbf,1 h 34m
Gelsenkirchen hbf,Mönchengladbach hbf,1 h 34m
Mönchengladbach hbf,Neunkirchen hbf,4 h 21m
Neunkirchen hbf,Mönchengladbach hbf,4 h 21m
Mönchengladbach hbf,Nürnberg hbf,4 h 11m
Nürnberg hbf,Mönchengladbach hbf,4 h 11m
Mönchengladbach hbf,Kaiserslautern hbf,3 h 36m
Kaiserslautern hbf,Mönchengladbach hbf,3 h 36m
Mönchengladbach hbf,Magdeburg hbf,4 h 32m
Magdeburg hbf,Mönchengladbach hbf,4 h 32m
Mönchengladbach hbf,Braunschweig hbf,3 h 46m
Braunschweig hbf,Mönchengladbach hbf,3 h 46m
Mönchengladbach hbf,Ulm hbf,3 h 57m
Ulm hbf,Mönchengladbach hbf,3 h 57m
Mönchengladbach hbf,Münster (Westf) hbf,1 h 53m
Münster (Westf) hbf,Mönchengladbach hbf,1 h 53m
Mönchengladbach hbf,Rostock hbf,7 h 5m
Rostock hbf,Mönchengladbach hbf,7 h 5m
Bremen hbf,Augsburg hbf,5 h 31m
Augsburg hbf,Bremen hbf,5 h 31m
Bremen hbf,Bochum hbf,2 h 29m
Bochum hbf,Bremen hbf,2 h 29m
Bremen hbf,Hamburg hbf,56m
Hamburg hbf,Bremen hbf,56m
Bremen hbf,Kiel hbf,2 h 5m
Kiel hbf,Bremen hbf,2 h 5m
Bremen hbf,Köln hbf,3 h 2m
Köln hbf,Bremen hbf,3 h 2m
Bremen hbf,Darmstadt hbf,4 h 16m
Darmstadt hbf,Bremen hbf,4 h 16m
Bremen hbf,Düsseldorf hbf,2 h 33m
Düsseldorf hbf,Bremen hbf,2 h 33m
Bremen hbf,Karlsruhe hbf,5 h
Karlsruhe hbf,Bremen hbf,5 h
Bremen hbf,Hannover hbf,59m
Hannover hbf,Bremen hbf,59m
Bremen hbf,Paderborn hbf,2 h 48m
Paderborn hbf,Bremen hbf,2 h 48m
Bremen hbf,Fürth hbf,4 h 28m
Fürth hbf,Bremen hbf,4 h 28m
Bremen hbf,Gelsenkirchen hbf,1 h 55m
Gelsenkirchen hbf,Bremen hbf,1 h 55m
Bremen hbf,Neunkirchen hbf,6 h 2m
Neunkirchen hbf,Bremen hbf,6 h 2m
Bremen hbf,Nürnberg hbf,4 h 10m
Nürnberg hbf,Bremen hbf,4 h 10m
Bremen hbf,Kaiserslautern hbf,5 h 24m
Kaiserslautern hbf,Bremen hbf,5 h 24m
Bremen hbf,Magdeburg hbf,2 h 39m
Magdeburg hbf,Bremen hbf,2 h 39m
Bremen hbf,Braunschweig hbf,1 h 53m
Braunschweig hbf,Bremen hbf,1 h 53m
Bremen hbf,Ulm hbf,6 h 21m
Ulm hbf,Bremen hbf,6 h 21m
Bremen hbf,Münster (Westf) hbf,1 h 15m
Münster (Westf) hbf,Bremen hbf,1 h 15m
Bremen hbf,Rostock hbf,3 h 32m
Rostock hbf,Bremen hbf,3 h 32m
Augsburg hbf,Bochum hbf,5 h 12m
Bochum hbf,Augsburg hbf,5 h 12m
Augsburg hbf,Hamburg hbf,5 h 42m
Hamburg hbf,Augsburg hbf,5 h 42m
Augsburg hbf,Kiel hbf,7 h 21m
Kiel hbf,Augsburg hbf,7 h 21m
Augsburg hbf,Köln hbf,3 h 58m
Köln hbf,Augsburg hbf,3 h 58m
Augsburg hbf,Darmstadt hbf,3 h 6m
Darmstadt hbf,Augsburg hbf,3 h 6m
Augsburg hbf,Düsseldorf hbf,4 h 8m
Düsseldorf hbf,Augsburg hbf,4 h 8m
Augsburg hbf,Karlsruhe hbf,2 h 17m
Karlsruhe hbf,Augsburg hbf,2 h 17m
Augsburg hbf,Hannover hbf,4 h 1m
Hannover hbf,Augsburg hbf,4 h 1m
Augsburg hbf,Paderborn hbf,4 h 40m
Paderborn hbf,Augsburg hbf,4 h 40m
Augsburg hbf,Fürth hbf,1 h 25m
Fürth hbf,Augsburg hbf,1 h 25m
Augsburg hbf,Gelsenkirchen hbf,4 h 44m
Gelsenkirchen hbf,Augsburg hbf,4 h 44m
Augsburg hbf,Neunkirchen hbf,3 h 49m
Neunkirchen hbf,Augsburg hbf,3 h 49m
Augsburg hbf,Nürnberg hbf,1 h 10m
Nürnberg hbf,Augsburg hbf,1 h 10m
Augsburg hbf,Kaiserslautern hbf,2 h 58m
Kaiserslautern hbf,Augsburg hbf,2 h 58m
Augsburg hbf,Magdeburg hbf,4 h 37m
Magdeburg hbf,Augsburg hbf,4 h 37m
Augsburg hbf,Braunschweig hbf,4 h 46m
Braunschweig hbf,Augsburg hbf,4 h 46m
Augsburg hbf,Ulm hbf,39m
Ulm hbf,Augsburg hbf,39m
Augsburg hbf,Münster (Westf) hbf,5 h 34m
Münster (Westf) hbf,Augsburg hbf,5 h 34m
Augsburg hbf,Rostock hbf,7 h 19m
Rostock hbf,Augsburg hbf,7 h 19m
Bochum hbf,Hamburg hbf,3 h 30m
Hamburg hbf,Bochum hbf,3 h 30m
Bochum hbf,Kiel hbf,4 h 44m
Kiel hbf,Bochum hbf,4 h 44m
Bochum hbf,Köln hbf,1 h 31m
Köln hbf,Bochum hbf,1 h 31m
Bochum hbf,Darmstadt hbf,3 h 8m
Darmstadt hbf,Bochum hbf,3 h 8m
Bochum hbf,Düsseldorf hbf,1 h 1m 
Düsseldorf hbf,Bochum hbf,1 h 1m
Bochum hbf,Karlsruhe hbf,3 h 22m
Karlsruhe hbf,Bochum hbf,3 h 22m
Bochum hbf,Hannover hbf,2 h 14m
Hannover hbf,Bochum hbf,2 h 14m
Bochum hbf,Paderborn hbf,1 h 32m
Paderborn hbf,Bochum hbf,1 h 32m
Bochum hbf,Fürth hbf,4 h 53m
Fürth hbf,Bochum hbf,4 h 53m
Bochum hbf,Gelsenkirchen hbf,31m
Gelsenkirchen hbf,Bochum hbf,31m
Bochum hbf,Neunkirchen hbf,4 h 49m
Neunkirchen hbf,Bochum hbf,4 h 49m
Bochum hbf,Nürnberg hbf,4 h 39m
Nürnberg hbf,Bochum hbf,4 h 39m
Bochum hbf,Kaiserslautern hbf,4 h 3m
Kaiserslautern hbf,Bochum hbf,4 h 3m
Bochum hbf,Magdeburg hbf,3 h 40m
Magdeburg hbf,Bochum hbf,3 h 40m
Bochum hbf,Braunschweig hbf,2 h 54m
Braunschweig hbf,Bochum hbf,2 h 54m
Bochum hbf,Ulm hbf,4 h 22m
Ulm hbf,Bochum hbf,4 h 22m
Bochum hbf,Münster (Westf) hbf,58m
Münster (Westf) hbf,Bochum hbf,58m
Bochum hbf,Rostock hbf,6 h 16m
Rostock hbf,Bochum hbf,6 h 16m
Hamburg hbf,Kiel hbf,1 h 5m
Kiel hbf,Hamburg hbf,1 h 5m
Hamburg hbf,Köln hbf,3 h 49m
Köln hbf,Hamburg hbf,3 h 49m
Hamburg hbf,Darmstadt hbf,4 h 7m
Darmstadt hbf,Hamburg hbf,4 h 7m
Hamburg hbf,Düsseldorf hbf,3 h 15m
Düsseldorf hbf,Hamburg hbf,3 h 15m
Hamburg hbf,Karlsruhe hbf,4 h 45m
Karlsruhe hbf,Hamburg hbf,4 h 45m
Hamburg hbf,Hannover hbf,1 h 14m
Hannover hbf,Hamburg hbf,1 h 14m
Hamburg hbf,Paderborn hbf,3 h 17m
Paderborn hbf,Hamburg hbf,3 h 17m
Hamburg hbf,Fürth hbf,4 h 41m
Fürth hbf,Hamburg hbf,4 h 41m
Hamburg hbf,Gelsenkirchen hbf,2 h 53m
Gelsenkirchen hbf,Hamburg hbf,2 h 53m
Hamburg hbf,Neunkirchen hbf,5 h 46m
Neunkirchen hbf,Hamburg hbf,5 h 46m
Hamburg hbf,Nürnberg hbf,4 h 22m
Nürnberg hbf,Hamburg hbf,4 h 22m
Hamburg hbf,Kaiserslautern hbf,5 h 8m
Kaiserslautern hbf,Hamburg hbf,5 h 8m
Hamburg hbf,Magdeburg hbf,2 h 47m
Magdeburg hbf,Hamburg hbf,2 h 47m
Hamburg hbf,Braunschweig hbf,2 h 6m
Braunschweig hbf,Hamburg hbf,2 h 6m
Hamburg hbf,Ulm hbf,6 h 20m
Ulm hbf,Hamburg hbf,6 h 20m
Hamburg hbf,Münster (Westf) hbf,2 h 13m
Münster (Westf) hbf,Hamburg hbf,2 h 13m
Hamburg hbf,Rostock hbf,2 h 7m
Rostock hbf,Hamburg hbf,2 h 7m
Kiel hbf,Köln hbf,5 h 45m
Köln hbf,Kiel hbf,5 h 45m
Kiel hbf,Darmstadt hbf,5 h 23m
Darmstadt hbf,Kiel hbf,5 h 23m
Kiel hbf,Düsseldorf hbf,4 h 52m
Düsseldorf hbf,Kiel hbf,4 h 52m
Kiel hbf,Karlsruhe hbf,5 h 57m
Karlsruhe hbf,Kiel hbf,5 h 57m
Kiel hbf,Hannover hbf,2 h 26m
Hannover hbf,Kiel hbf,2 h 26m
Kiel hbf,Paderborn hbf,4 h 34m
Paderborn hbf,Kiel hbf,4 h 34m
Kiel hbf,Fürth hbf,6 h 6m
Fürth hbf,Kiel hbf,6 h 6m
Kiel hbf,Gelsenkirchen hbf,4 h 23m
Gelsenkirchen hbf,Kiel hbf,4 h 23m
Kiel hbf,Neunkirchen hbf,6 h 58m
Neunkirchen hbf,Kiel hbf,6 h 58m
Kiel hbf,Nürnberg hbf,5 h 46m
Nürnberg hbf,Kiel hbf,5 h 46m
Kiel hbf,Kaiserslautern hbf,6 h 20m
Kaiserslautern hbf,Kiel hbf,6 h 20m
Kiel hbf,Magdeburg hbf,4 h 20m
Magdeburg hbf,Kiel hbf,4 h 20m
Kiel hbf,Braunschweig hbf,3 h 31m
Braunschweig hbf,Kiel hbf,3 h 31m
Kiel hbf,Ulm hbf,7 h 43m
Ulm hbf,Kiel hbf,7 h 43m
Kiel hbf,Münster (Westf) hbf,3 h 23m
Münster (Westf) hbf,Kiel hbf,3 h 23m
Kiel hbf,Rostock hbf,3 h 44m
Rostock hbf,Kiel hbf,3 h 44m
Köln hbf,Darmstadt hbf,1 h 40m
Darmstadt hbf,Köln hbf,1 h 40m
Köln hbf,Düsseldorf hbf,21m
Düsseldorf hbf,Köln hbf,21m
Köln hbf,Karlsruhe hbf,2 h 2m
Karlsruhe hbf,Köln hbf,2 h 2m
Köln hbf,Hannover hbf,2 h 33m
Hannover hbf,Köln hbf,2 h 33m
Köln hbf,Paderborn hbf,2 h
Paderborn hbf,Köln hbf,2 h
Köln hbf,Fürth hbf,3 h 37m
Fürth hbf,Köln hbf,3 h 37m
Köln hbf,Gelsenkirchen hbf,1 h 19m
Gelsenkirchen hbf,Köln hbf,1 h 19m
Köln hbf,Neunkirchen hbf,3 h 11m
Neunkirchen hbf,Köln hbf,3 h 11m
Köln hbf,Nürnberg hbf,3 h 24m
Nürnberg hbf,Köln hbf,3 h 24m
Köln hbf,Kaiserslautern hbf,2 h 26m
Kaiserslautern hbf,Köln hbf,2 h 26m
Köln hbf,Magdeburg hbf,4 h 9m
Magdeburg hbf,Köln hbf,4 h 9m
Köln hbf,Braunschweig hbf,3 h 23m
Braunschweig hbf,Köln hbf,3 h 23m
Köln hbf,Ulm hbf,3 h 6m
Ulm hbf,Köln hbf,3 h 6m
Köln hbf,Münster (Westf) hbf,1 h 40m
Münster (Westf) hbf,Köln hbf,1 h 40m
Köln hbf,Rostock hbf,6 h 39m
Rostock hbf,Köln hbf,6 h 39m
Darmstadt hbf,Düsseldorf hbf,1 h 57m
Düsseldorf hbf,Darmstadt hbf,1 h 57m
Darmstadt hbf,Karlsruhe hbf,1 h 14m
