From,To,Fastest Train Time
Heidenheim hbf,Kaiserslautern hbf,3 h 9m
Kaiserslautern hbf,Heidenheim hbf,3 h 9m
Heidenheim hbf,Magdeburg hbf,6 h
Magdeburg hbf,Heidenheim hbf,6 h
Heidenheim hbf,Braunschweig hbf,5 h 25m
Braunschweig hbf,Heidenheim hbf,5 h 25m
Heidenheim hbf,Ulm hbf,32m
Ulm hbf,Heidenheim hbf,32m
Heidenheim hbf,Münster (Westf) hbf,6 h 30m
Münster (Westf) hbf,Heidenheim hbf,6 h 30m
Heidenheim hbf,Aachen hbf,5 h 33m
Aachen hbf,Heidenheim hbf,5 h 33m
Heidenheim hbf,Bielefeld hbf,6 h 43m
Bielefeld hbf,Heidenheim hbf,6 h 43m
Heidenheim hbf,Dresden hbf,6 h 4m
Dresden hbf,Heidenheim hbf,6 h 4m
Heidenheim hbf,Cottbus hbf,7 h 9m
Cottbus hbf,Heidenheim hbf,7 h 9m
Heidenheim hbf,Aue (Sachs) Bahnhof,6 h 1m
Aue (Sachs) Bahnhof,Heidenheim hbf,6 h 1m 
Heidenheim hbf,Rostock hbf,8 h 37m
Rostock hbf,Heidenheim hbf,8 h 37m
Heidenheim hbf,Ingolstadt hbf,2 h 27m
Ingolstadt hbf,Heidenheim hbf,2 h 27m
Heidenheim hbf,Osnabrück hbf,6 h 57m
Osnabrück hbf,Heidenheim hbf,6 h 57m
Heidenheim hbf,Essen hbf,5 h 35m
Essen hbf,Heidenheim hbf,5 h 35m
Heidenheim hbf,Saarbrücken hbf,3 h 53m
Saarbrücken hbf,Heidenheim hbf,3 h 53m
Heidenheim hbf,Heidelberg hbf,2 h 44m
Heidelberg hbf,Heidenheim hbf,2 h 44m
Heidenheim hbf,Gütersloh hbf,7 h 13m
Gütersloh hbf,Heidenheim hbf,7 h 13m
München hbf,Regensburg hbf,1 h 23m
Regensburg hbf,München hbf,1 h 23m
Dortmund hbf,Regensburg hbf,5 h 42m
Regensburg hbf,Dortmund hbf,5 h 42m
Leverkusen Mitte,Regensburg hbf,5 h
Regensburg hbf,Leverkusen Mitte,5 h
Leipzig hbf,Regensburg hbf,3 h 19m
Regensburg hbf,Leipzig hbf,3 h 19m
Stuttgart hbf,Regensburg hbf,3 h 14m
Regensburg hbf,Stuttgart hbf,3 h 14m
Frankfurt hbf,Regensburg hbf,3 h 1m
Regensburg hbf,Frankfurt hbf,3 h 1m
Freiburg (Breisgau) hbf,Regensburg hbf,5 h 35m
Regensburg hbf,Freiburg (Breisgau) hbf,5 h 35m
Berlin hbf,Regensburg hbf,4 h 18m
Regensburg hbf,Berlin hbf,4 h 18m
Sinsheim (Elsenz) hbf,Regensburg hbf,4 h 47m
Regensburg hbf,Sinsheim (Elsenz) hbf,4 h 47m
Mainz hbf,Regensburg hbf,3 h 41m
Regensburg hbf,Mainz hbf,3 h 41m
Wolfsburg hbf,Regensburg hbf,4 h 44m
Regensburg hbf,Wolfsburg hbf,4 h 44m
Mönchengladbach hbf,Regensburg hbf,5 h 28m
Regensburg hbf,Mönchengladbach hbf,5 h 28m
Bremen hbf,Regensburg hbf,5 h 8m
Regensburg hbf,Bremen hbf,5 h 8m
Augsburg hbf,Regensburg hbf,2 h 8m
Regensburg hbf,Augsburg hbf,2 h 8m
Bochum hbf,Regensburg hbf,5 h 56m
Regensburg hbf,Bochum hbf,5 h 56m
Heidenheim hbf,Regensburg hbf,2 h 49m
Regensburg hbf,Heidenheim hbf,2 h 49m
Heidenheim hbf,Mannheim hbf,2 h 16m
Mannheim hbf,Heidenheim hbf,2 h 16m
Heidenheim hbf,Wiesbaden hbf,3 h 54m
Wiesbaden hbf,Heidenheim hbf,3 h 54m
Hamburg hbf,Regensburg hbf,5 h 21m
Regensburg hbf,Hamburg hbf,5 h 21m
Kiel hbf,Regensburg hbf,6 h 46m
Regensburg hbf,Kiel hbf,6 h 46m
Köln hbf,Regensburg hbf,4 h 28m
Regensburg hbf,Köln hbf,4 h 28m
Darmstadt hbf,Regensburg hbf,3 h 36m
Regensburg hbf,Darmstadt hbf,3 h 36m
Düsseldorf hbf,Regensburg hbf,4 h 52m
Regensburg hbf,Düsseldorf hbf,4 h 52m
Karlsruhe hbf,Regensburg hbf,4 h 32m
Regensburg hbf,Karlsruhe hbf,4 h 32m
Hannover hbf,Regensburg hbf,3 h 57m
Regensburg hbf,Hannover hbf,3 h 57m
Paderborn hbf,Regensburg hbf,4 h 25m
Regensburg hbf,Paderborn hbf,4 h 25m
Fürth hbf,Regensburg hbf,1 h 11m
Regensburg hbf,Fürth hbf,1 h 11m
Gelsenkirchen hbf,Regensburg hbf,5 h 40m
Regensburg hbf,Gelsenkirchen hbf,5 h 40m
Neunkirchen hbf,Regensburg hbf,6 h 2m
Regensburg hbf,Neunkirchen hbf,6 h 2m
Nürnberg hbf,Regensburg hbf,51m
Regensburg hbf,Nürnberg hbf,51m
Kaiserslautern hbf,Regensburg hbf,5 h 3m
Regensburg hbf,Kaiserslautern hbf,5 h 3m
Magdeburg hbf,Regensburg hbf,4 h 6m
Regensburg hbf,Magdeburg hbf,4 h 6m
Braunschweig hbf,Regensburg hbf,4 h 24m
Regensburg hbf,Braunschweig hbf,4 h 24m
Ulm hbf,Regensburg hbf,2 h 50m
Regensburg hbf,Ulm hbf,2 h 50m
Münster (Westf) hbf,Regensburg hbf,5 h 48m
Regensburg hbf,Münster (Westf) hbf,5 h 48m
Regensburg hbf,Aachen hbf,5 h 31m
Aachen hbf,Regensburg hbf,5 h 31m
Regensburg hbf,Bielefeld hbf,5 h 16m
Bielefeld hbf,Regensburg hbf,5 h 16m
Regensburg hbf,Dresden hbf,4 h 44m
Dresden hbf,Regensburg hbf,4 h 44m
Regensburg hbf,Cottbus hbf,6 h 10m
Cottbus hbf,Regensburg hbf,6 h 10m
Regensburg hbf,Aue (Sachs) Bahnhof,4 h 15m
Aue (Sachs) Bahnhof,Regensburg hbf,4 h 15m
Regensburg hbf,Rostock hbf,6 h 52m
Rostock hbf,Regensburg hbf,6 h 52m
Regensburg hbf,Ingolstadt hbf,56m
Ingolstadt hbf,Regensburg hbf,56m
Regensburg hbf,Osnabrück hbf,5 h 29m
Osnabrück hbf,Regensburg hbf,5 h 29m
Regensburg hbf,Essen hbf,5 h 17m
Essen hbf,Regensburg hbf,5 h 17m
Regensburg hbf,Saarbrücken hbf,5 h 40m
Saarbrücken hbf,Regensburg hbf,5 h 40m
Regensburg hbf,Heidelberg hbf,4 h 18m
Heidelberg hbf,Regensburg hbf,4 h 18m
Regensburg hbf,Gütersloh hbf,5 h 26m
Gütersloh hbf,Regensburg hbf,5 h 26m
Regensburg hbf,Mannheim hbf,3 h 52m
Mannheim hbf,Regensburg hbf,3 h 52m
Regensburg hbf,Wiesbaden hbf,3 h 49m
Wiesbaden hbf,Regensburg hbf,3 h 49m
München hbf,München hbf,0h 0m
Dortmund hbf,Dortmund hbf,0h 0m
Leverkusen Mitte,Leverkusen Mitte,0h 0m
Leipzig hbf,Leipzig hbf,0h 0m
Stuttgart hbf,Stuttgart hbf,0h 0m
Frankfurt hbf,Frankfurt hbf,0h 0m
Freiburg (Breisgau) hbf,Freiburg (Breisgau) hbf,0h 0m
Berlin hbf,Berlin hbf,0h 0m
Sinsheim (Elsenz) hbf,Sinsheim (Elsenz) hbf,0h 0m
Mainz hbf,Mainz hbf,0h 0m
Wolfsburg hbf,Wolfsburg hbf,0h 0m
Mönchengladbach hbf,Mönchengladbach hbf,0h 0m
Bremen hbf,Bremen hbf,0h 0m
Augsburg hbf,Augsburg hbf,0h 0m
Bochum hbf,Bochum hbf,0h 0m
Heidenheim hbf,Heidenheim hbf,0h 0m
Hamburg hbf,Hamburg hbf,0h 0m
Kiel hbf,Kiel hbf,0h 0m
Köln hbf,Köln hbf,0h 0m
Darmstadt hbf,Darmstadt hbf,0h 0m
Düsseldorf hbf,Düsseldorf hbf,0h 0m
Karlsruhe hbf,Karlsruhe hbf,0h 0m
Hannover hbf,Hannover hbf,0h 0m
Paderborn hbf,Paderborn hbf,0h 0m
Fürth hbf,Fürth hbf,0h 0m
Gelsenkirchen hbf,Gelsenkirchen hbf,0h 0m
Neunkirchen hbf,Neunkirchen hbf,0h 0m
Nürnberg hbf,Nürnberg hbf,0h 0m
Kaiserslautern hbf,Kaiserslautern hbf,0h 0m
Magdeburg hbf,Magdeburg hbf,0h 0m
Braunschweig hbf,Braunschweig hbf,0h 0m
Ulm hbf,Ulm hbf,0h 0m
Münster (Westf) hbf,Münster (Westf) hbf,0h 0m
Regensburg hbf,Regensburg hbf,0h 0m
Aachen hbf,Aachen hbf,0h 0m
Bielefeld hbf,Bielefeld hbf,0h 0m
Dresden hbf,Dresden hbf,0h 0m
Cottbus hbf,Cottbus hbf,0h 0m
Aue (Sachs) Bahnhof,Aue (Sachs) Bahnhof,0h 0m
Rostock hbf,Rostock hbf,0h 0m
Ingolstadt hbf,Ingolstadt hbf,0h 0m
Osnabrück hbf,Osnabrück hbf,0h 0m
Essen hbf,Essen hbf,0h 0m
Saarbrücken hbf,Saarbrücken hbf,0h 0m
Heidelberg hbf,Heidelberg hbf,0h 0m
Gütersloh hbf,Gütersloh hbf,0h 0m
Mannheim hbf,Mannheim hbf,0h 0m
Wiesbaden hbf,Wiesbaden hbf,0h 0m
München hbf,München hbf,0h 0m
Dortmund hbf,Dortmund hbf,0h 0m
Leverkusen Mitte,Leverkusen Mitte,0h 0m
Leipzig hbf,Leipzig hbf,0h 0m
Stuttgart hbf,Stuttgart hbf,0h 0m
Frankfurt hbf,Frankfurt hbf,0h 0m
Freiburg (Breisgau) hbf,Freiburg (Breisgau) hbf,0h 0m
Berlin hbf,Berlin hbf,0h 0m
Sinsheim (Elsenz) hbf,Sinsheim (Elsenz) hbf,0h 0m
Mainz hbf,Mainz hbf,0h 0m
Wolfsburg hbf,Wolfsburg hbf,0h 0m
Mönchengladbach hbf,Mönchengladbach hbf,0h 0m
Bremen hbf,Bremen hbf,0h 0m
Augsburg hbf,Augsburg hbf,0h 0m
Bochum hbf,Bochum hbf,0h 0m
Heidenheim hbf,Heidenheim hbf,0h 0m
Hamburg hbf,Hamburg hbf,0h 0m
Kiel hbf,Kiel hbf,0h 0m
Köln hbf,Köln hbf,0h 0m
Darmstadt hbf,Darmstadt hbf,0h 0m
Düsseldorf hbf,Düsseldorf hbf,0h 0m
Karlsruhe hbf,Karlsruhe hbf,0h 0m
Hannover hbf,Hannover hbf,0h 0m
Paderborn hbf,Paderborn hbf,0h 0m
Fürth hbf,Fürth hbf,0h 0m
Gelsenkirchen hbf,Gelsenkirchen hbf,0h 0m
Neunkirchen hbf,Neunkirchen hbf,0h 0m
Nürnberg hbf,Nürnberg hbf,0h 0m
Kaiserslautern hbf,Kaiserslautern hbf,0h 0m
Magdeburg hbf,Magdeburg hbf,0h 0m
Braunschweig hbf,Braunschweig hbf,0h 0m
Ulm hbf,Ulm hbf,0h 0m
Münster (Westf) hbf,Münster (Westf) hbf,0h 0m
Regensburg hbf,Regensburg hbf,0h 0m
Aachen hbf,Aachen hbf,0h 0m
Bielefeld hbf,Bielefeld hbf,0h 0m
Dresden hbf,Dresden hbf,0h 0m
Cottbus hbf,Cottbus hbf,0h 0m
Aue (Sachs) Bahnhof,Aue (Sachs) Bahnhof,0h 0m
Rostock hbf,Rostock hbf,0h 0m
Ingolstadt hbf,Ingolstadt hbf,0h 0m
Osnabrück hbf,Osnabrück hbf,0h 0m
Essen hbf,Essen hbf,0h 0m
Saarbrücken hbf,Saarbrücken hbf,0h 0m
Heidelberg hbf,Heidelberg hbf,0h 0m
Gütersloh hbf,Gütersloh hbf,0h 0m
Mannheim hbf,Mannheim hbf,0h 0m
Wiesbaden hbf,Wiesbaden hbf,0h 0m
München hbf,Duisburg hbf,4 h 56m
Duisburg hbf,München hbf,4 h 56m
München hbf,Schweinfurt hbf,2 h 35m
Schweinfurt hbf,München hbf,2 h 35m
Dortmund hbf,Duisburg hbf,33m
Duisburg hbf,Dortmund hbf,33m
Dortmund hbf,Schweinfurt hbf,3 h 56m
Schweinfurt hbf,Dortmund hbf,3 h 56m
Leverkusen Mitte,Duisburg hbf,35m
Duisburg hbf,Leverkusen Mitte,35m
Leverkusen Mitte,Schweinfurt hbf,3 h 24m
Schweinfurt hbf,Leverkusen Mitte,3 h 24m
Leipzig hbf,Duisburg hbf,5 h 6m
Duisburg hbf,Leipzig hbf,5 h 6m
Leipzig hbf,Schweinfurt hbf,2 h 45m
Schweinfurt hbf,Leipzig hbf,2 h 45m
Stuttgart hbf,Duisburg hbf,2 h 49m
Duisburg hbf,Stuttgart hbf,2 h 49m
Stuttgart hbf,Schweinfurt hbf,3 h 1m
Schweinfurt hbf,Stuttgart hbf,3 h 1m
Frankfurt hbf,Duisburg hbf,1 h 40m
Duisburg hbf,Frankfurt hbf,1 h 40m
Frankfurt hbf,Schweinfurt hbf,1 h 39m
Schweinfurt hbf,Frankfurt hbf,1 h 39m
Freiburg (Breisgau) hbf,Duisburg hbf,3 h 37m
Duisburg hbf,Freiburg (Breisgau) hbf,3 h 37m
Freiburg (Breisgau) hbf,Schweinfurt hbf,4 h 13m
Schweinfurt hbf,Freiburg (Breisgau) hbf,4 h 13m
Berlin hbf,Duisburg hbf,3 h 53m
Duisburg hbf,Berlin hbf,3 h 53m
Berlin hbf,Schweinfurt hbf,4 h 18m
Schweinfurt hbf,Berlin hbf,4 h 18m
Sinsheim (Elsenz) hbf,Duisburg hbf,3 h 28m
Duisburg hbf,Sinsheim (Elsenz) hbf,3 h 28m
Sinsheim (Elsenz) hbf,Schweinfurt hbf,3 h 10m
Schweinfurt hbf,Sinsheim (Elsenz) hbf,3 h 10m
Mainz hbf,Duisburg hbf,2 h 2m
Duisburg hbf,Mainz hbf,2 h 2m
Mainz hbf,Schweinfurt hbf,2 h 19m
Schweinfurt hbf,Mainz hbf,2 h 19m
Wolfsburg hbf,Duisburg hbf,2 h 55m
Duisburg hbf,Wolfsburg hbf,2 h 55m
Wolfsburg hbf,Schweinfurt hbf,3 h 19m
Schweinfurt hbf,Wolfsburg hbf,3 h 19m
Mönchengladbach hbf,Duisburg hbf,37m
Duisburg hbf,Mönchengladbach hbf,37m
Mönchengladbach hbf,Schweinfurt hbf,3 h 52m
Schweinfurt hbf,Mönchengladbach hbf,3 h 52m
Bremen hbf,Duisburg hbf,2 h 19m
Duisburg hbf,Bremen hbf,2 h 19m
Bremen hbf,Schweinfurt hbf,3 h 44m
Schweinfurt hbf,Bremen hbf,3 h 44m
Augsburg hbf,Duisburg hbf,4 h 23m
Duisburg hbf,Augsburg hbf,4 h 23m
Augsburg hbf,Schweinfurt hbf,2 h 21m
Schweinfurt hbf,Augsburg hbf,2 h 21m
Heidenheim hbf,Duisburg hbf,4 h 50m
Duisburg hbf,Heidenheim hbf,4 h 50m
Heidenheim hbf,Schweinfurt hbf,4 h 21m
Schweinfurt hbf,Heidenheim hbf,4 h 21m
Hamburg hbf,Duisburg hbf,3 h 1m
Duisburg hbf,Hamburg hbf,3 h 1m
Hamburg hbf,Schweinfurt hbf,3 h 58m
Schweinfurt hbf,Hamburg hbf,3 h 58m
Köln hbf,Duisburg hbf,34m
Duisburg hbf,Köln hbf,34m
Köln hbf,Schweinfurt hbf,3 h 3m
Schweinfurt hbf,Köln hbf,3 h 3m
Bielefeld hbf,Duisburg hbf,1 h 20m
Duisburg hbf,Bielefeld hbf,1 h 20m
Bielefeld hbf,Schweinfurt hbf,3 h 54m
Schweinfurt hbf,Bielefeld hbf,3 h 54m
Bochum hbf,Duisburg hbf,22m
Duisburg hbf,Bochum hbf,22m
Bochum hbf,Schweinfurt hbf,3 h 58m
Schweinfurt hbf,Bochum hbf,3 h 58m
Kiel hbf,Duisburg hbf,4 h 33m
Duisburg hbf,Kiel hbf,4 h 33m
Kiel hbf,Schweinfurt hbf,5 h 24m
Schweinfurt hbf,Kiel hbf,5 h 24m
Darmstadt hbf,Duisburg hbf,2 h 10m
Duisburg hbf,Darmstadt hbf,2 h 10m
Darmstadt hbf,Schweinfurt hbf,2 h 13m
Schweinfurt hbf,Darmstadt hbf,2 h 13m
Düsseldorf hbf,Duisburg hbf,11m
Duisburg hbf,Düsseldorf hbf,11m
Düsseldorf hbf,Schweinfurt hbf,3 h 16m
Schweinfurt hbf,Düsseldorf hbf,3 h 16m
Karlsruhe hbf,Duisburg hbf,2 h 33m
Duisburg hbf,Karlsruhe hbf,2 h 33m
Karlsruhe hbf,Schweinfurt hbf,3 h 6m
Schweinfurt hbf,Karlsruhe hbf,3 h 6m
Hannover hbf,Duisburg hbf,2 h 17m
Duisburg hbf,Hannover hbf,2 h 17m
Hannover hbf,Schweinfurt hbf,2 h 33m
Schweinfurt hbf,Hannover hbf,2 h 33m
Paderborn hbf,Duisburg hbf,1 h 42m
Duisburg hbf,Paderborn hbf,1 h 42m
Paderborn hbf,Schweinfurt hbf,2 h 50m
Schweinfurt hbf,Paderborn hbf,2 h 50m
Fürth hbf,Duisburg hbf,4 h 1m
Duisburg hbf,Fürth hbf,4 h 1m
Fürth hbf,Schweinfurt hbf,1 h 8m
Schweinfurt hbf,Fürth hbf,1 h 8m
Gelsenkirchen hbf,Duisburg hbf,20m
Duisburg hbf,Gelsenkirchen hbf,20m
Gelsenkirchen hbf,Schweinfurt hbf,4 h 4m
Schweinfurt hbf,Gelsenkirchen hbf,4 h 4m
Neunkirchen hbf,Duisburg hbf,4 h 12m
Duisburg hbf,Neunkirchen hbf,4 h 12m
Neunkirchen hbf,Schweinfurt hbf,4 h 26m
Schweinfurt hbf,Neunkirchen hbf,4 h 26m
Nürnberg hbf,Duisburg hbf,3 h 46m
Duisburg hbf,Nürnberg hbf,3 h 46m
Nürnberg hbf,Schweinfurt hbf,1 h 14m
Schweinfurt hbf,Nürnberg hbf,1 h 14m
Kaiserslautern hbf,Duisburg hbf,3 h 9m
Duisburg hbf,Kaiserslautern hbf,3 h 9m
Kaiserslautern hbf,Schweinfurt hbf,3 h 27m
Schweinfurt hbf,Kaiserslautern hbf,3 h 27m
Magdeburg hbf,Duisburg hbf,3 h 44m
Duisburg hbf,Magdeburg hbf,3 h 44m
Magdeburg hbf,Schweinfurt hbf,3 h 51m
Schweinfurt hbf,Magdeburg hbf,3 h 51m
Braunschweig hbf,Duisburg hbf,2 h 59m
Duisburg hbf,Braunschweig hbf,2 h 59m
Braunschweig hbf,Schweinfurt hbf,3 h 2m
Schweinfurt hbf,Braunschweig hbf,3 h 2m
Münster (Westf) hbf,Duisburg hbf,1 h
Duisburg hbf,Münster (Westf) hbf,1 h
Münster (Westf) hbf,Schweinfurt hbf,4 h 2m
Schweinfurt hbf,Münster (Westf) hbf,4 h 2m
Dresden hbf,Duisburg hbf,6 h 3m
Duisburg hbf,Dresden hbf,6 h 3m
Dresden hbf,Schweinfurt hbf,5 h 15m
Schweinfurt hbf,Dresden hbf,5 h 15m
Ulm hbf,Duisburg hbf,3 h 38m
Duisburg hbf,Ulm hbf,3 h 38m
Ulm hbf,Schweinfurt hbf,3 h 23m
Schweinfurt hbf,Ulm hbf,3 h 23m
Regensburg hbf,Duisburg hbf,5 h
Duisburg hbf,Regensburg hbf,5 h
Regensburg hbf,Schweinfurt hbf,2 h 20m
Schweinfurt hbf,Regensburg hbf,2 h 20m
Aachen hbf,Duisburg hbf,1 h 18m
Duisburg hbf,Aachen hbf,1 h 18m
Aachen hbf,Schweinfurt hbf,3 h 58m
Schweinfurt hbf,Aachen hbf,3 h 58m
Cottbus hbf,Duisburg hbf,5 h 44m
Duisburg hbf,Cottbus hbf,5 h 44m
Cottbus hbf,Schweinfurt hbf,4 h 52m
Schweinfurt hbf,Cottbus hbf,4 h 52m
Aue (Sachs) Bahnhof,Duisburg hbf,7 h 41m
Duisburg hbf,Aue (Sachs) Bahnhof,7 h 41m
Aue (Sachs) Bahnhof,Schweinfurt hbf,4 h 48m
Schweinfurt hbf,Aue (Sachs) Bahnhof,4 h 48m
Rostock hbf,Duisburg hbf,4 h 59m
Duisburg hbf,Rostock hbf,4 h 59m
Rostock hbf,Schweinfurt hbf,6 h 15m
Schweinfurt hbf,Rostock hbf,6 h 15m
Ingolstadt hbf,Duisburg hbf,4 h 24m
Duisburg hbf,Ingolstadt hbf,4 h 24m
Ingolstadt hbf,Schweinfurt hbf,1 h 55m
Schweinfurt hbf,Ingolstadt hbf,1 h 55m
Osnabrück hbf,Duisburg hbf,1 h 29m
Duisburg hbf,Osnabrück hbf,1 h 29m
Osnabrück hbf,Schweinfurt hbf,4 h 7m
Schweinfurt hbf,Osnabrück hbf,4 h 7m
Essen hbf,Duisburg hbf,11m
Duisburg hbf,Essen hbf,11m
Essen hbf,Schweinfurt hbf,3 h 43m
Schweinfurt hbf,Essen hbf,3 h 43m
Saarbrücken hbf,Duisburg hbf,3 h 46m
Duisburg hbf,Saarbrücken hbf,3 h 46m
Saarbrücken hbf,Schweinfurt hbf,4 h 14m
Schweinfurt hbf,Saarbrücken hbf,4 h 14m
Gütersloh hbf,Duisburg hbf,1 h 19m
Duisburg hbf,Gütersloh hbf,1 h 19m
Gütersloh hbf,Schweinfurt hbf,4 h 19m
Schweinfurt hbf,Gütersloh hbf,4 h 19m
Mannheim hbf,Duisburg hbf,2 h 2m
Duisburg hbf,Mannheim hbf,2 h 2m
Mannheim hbf,Schweinfurt hbf,2 h 29m
Schweinfurt hbf,Mannheim hbf,2 h 29m
Wiesbaden hbf,Duisburg hbf,2 h 2m
Duisburg hbf,Wiesbaden hbf,2 h 2m
Wiesbaden hbf,Schweinfurt hbf,2 h 29m
Schweinfurt hbf,Wiesbaden hbf,2 h 29m
Duisburg hbf,Duisburg hbf,0h 0m
Duisburg hbf,Schweinfurt hbf,3 h 29m
Schweinfurt hbf,Duisburg hbf,3 h 29m
Duisburg hbf,Heidelberg hbf,2 h 30m
Heidelberg hbf,Duisburg hbf,2 h 30m
Schweinfurt hbf,Schweinfurt hbf,0h 0m
Schweinfurt hbf,Heidelberg hbf,2 h 52m
Heidelberg hbf,Schweinfurt hbf,2 h 52m
